dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
83;2;2022-01-13;128880;129451;101323;358;117697
83;3;2022-01-13;61569;50819;107;0;92
83;4;2022-01-13;24328;134;19;0;79
84;1;2022-01-13;336302;316362;158812;461;172924
84;2;2022-01-13;35983;38476;47787;313;56531
84;3;2022-01-13;33813;27856;43;0;23
84;4;2022-01-13;11902;75;16;0;51
85;1;2022-01-13;433189;431694;238270;692;250131
85;2;2022-01-13;72728;78608;91449;293;101278
85;3;2022-01-13;53445;44098;33;0;7
85;4;2022-01-13;14672;28;2;0;3
86;1;2022-01-13;262315;259746;135284;438;141981
86;2;2022-01-13;37000;40234;61027;141;66489
86;3;2022-01-13;35549;28522;15;0;5
86;4;2022-01-13;8468;15;0;0;2
87;1;2022-01-13;226170;223332;109752;160;114560
87;2;2022-01-13;30528;34053;70532;134;75904
87;3;2022-01-13;33845;27304;23;0;6
87;4;2022-01-13;7128;34;0;0;6
88;1;2022-01-13;217488;211899;113688;317;123833
88;2;2022-01-13;34211;35887;42905;171;49230
88;3;2022-01-13;26653;21788;16;0;9
88;4;2022-01-13;7430;20;1;0;4
89;1;2022-01-13;203590;196801;103421;331;109740
89;2;2022-01-13;29410;32063;42471;100;47208
89;3;2022-01-13;19789;16170;13;0;3
89;4;2022-01-13;6498;32;3;0;3
90;1;2022-01-13;79107;76449;42329;101;45509
90;2;2022-01-13;13325;13683;14545;17;16248
90;3;2022-01-13;8175;6255;4;0;5
90;4;2022-01-13;1680;2;0;0;0
91;1;2022-01-13;775642;715328;298607;718;329088
91;2;2022-01-13;107659;117288;180999;271;203872
91;3;2022-01-13;69309;51824;39;0;34
91;4;2022-01-13;12813;75;10;1;44
92;1;2022-01-13;999216;942472;452918;849;506197
92;2;2022-01-13;128724;141614;217772;441;246586
92;3;2022-01-13;91265;63464;65;0;71
92;4;2022-01-13;14098;107;17;0;58
93;1;2022-01-13;907821;792631;296159;558;341890
93;2;2022-01-13;113918;116804;132599;316;157759
93;3;2022-01-13;54052;37615;45;0;50
93;4;2022-01-13;13471;136;22;0;72
94;1;2022-01-13;869815;801271;361832;656;405838
94;2;2022-01-13;66401;77839;141755;362;165026
94;3;2022-01-13;69997;49099;42;0;46
94;4;2022-01-13;12608;98;18;0;53
95;1;2022-01-13;729243;660086;307379;616;346103
95;2;2022-01-13;105794;106924;105185;223;122578
95;3;2022-01-13;55434;40826;26;0;40
95;4;2022-01-13;11098;81;26;0;64
01;0;2022-01-13;473831;443390;241846;819;275015
02;0;2022-01-13;411734;388117;219477;654;241791
03;0;2022-01-13;265966;254784;160566;413;171060
04;0;2022-01-13;116961;108627;62040;120;68094
05;0;2022-01-13;107722;99767;57252;168;63832
06;0;2022-01-13;840941;773402;457355;1266;504288
07;0;2022-01-13;243576;229559;133202;364;147671
08;0;2022-01-13;210164;199409;119950;335;130944
09;0;2022-01-13;112483;106262;63798;124;67120
10;0;2022-01-13;233998;221786;135152;342;145669
11;0;2022-01-13;283986;267667;160803;296;171353
12;0;2022-01-13;216520;205837;125521;238;132995
13;0;2022-01-13;1460972;1329133;737840;2264;821287
14;0;2022-01-13;571522;548261;342867;863;365950
15;0;2022-01-13;117210;113150;73172;218;77110
16;0;2022-01-13;281657;271004;162585;535;172176
17;0;2022-01-13;548201;526707;317075;1018;334915
18;0;2022-01-13;238276;227645;137510;484;148212
19;0;2022-01-13;192031;183978;115880;175;121144
21;0;2022-01-13;414110;392876;236019;727;255863
