"dep";"an_sem";"clage_covid_dc65";"cat_zscore"
"57";"2020-S12";"0";"3"
"57";"2020-S13";"0";"4"
"57";"2020-S14";"0";"5"
"58";"2020-S11";"A";"1"
"58";"2020-S12";"A";"1"
"58";"2020-S13";"A";"1"
"58";"2020-S14";"A";"1"
"58";"2020-S11";"0";"1"
"58";"2020-S12";"0";"1"
"58";"2020-S13";"0";"1"
"58";"2020-S14";"0";"1"
"59";"2020-S11";"A";"2"
"59";"2020-S12";"A";"2"
"59";"2020-S13";"A";"2"
"59";"2020-S14";"A";"4"
"59";"2020-S11";"0";"1"
"59";"2020-S12";"0";"2"
"59";"2020-S13";"0";"2"
"59";"2020-S14";"0";"3"
"60";"2020-S11";"A";"2"
"60";"2020-S12";"A";"2"
"60";"2020-S13";"A";"3"
"60";"2020-S14";"A";"3"
"60";"2020-S11";"0";"2"
"60";"2020-S12";"0";"2"
"60";"2020-S13";"0";"3"
"60";"2020-S14";"0";"3"
"61";"2020-S11";"A";"1"
"61";"2020-S12";"A";"1"
"61";"2020-S13";"A";"1"
"61";"2020-S14";"A";"1"
"61";"2020-S11";"0";"1"
"61";"2020-S12";"0";"1"
"61";"2020-S13";"0";"1"
"61";"2020-S14";"0";"1"
"62";"2020-S11";"A";"1"
"62";"2020-S12";"A";"2"
"62";"2020-S13";"A";"1"
"62";"2020-S14";"A";"1"
"62";"2020-S11";"0";"1"
"62";"2020-S12";"0";"2"
"62";"2020-S13";"0";"1"
"62";"2020-S14";"0";"1"
"63";"2020-S11";"A";"1"
"63";"2020-S12";"A";"1"
"63";"2020-S13";"A";"1"
"63";"2020-S14";"A";"1"
"63";"2020-S11";"0";"1"
"63";"2020-S12";"0";"1"
"63";"2020-S13";"0";"1"
"63";"2020-S14";"0";"1"
"64";"2020-S11";"A";"1"
"64";"2020-S12";"A";"1"
"64";"2020-S13";"A";"1"
"64";"2020-S14";"A";"1"
"64";"2020-S11";"0";"1"
"64";"2020-S12";"0";"1"
"64";"2020-S13";"0";"1"
"64";"2020-S14";"0";"1"
"65";"2020-S11";"A";"1"
"65";"2020-S12";"A";"1"
"65";"2020-S13";"A";"1"
"65";"2020-S14";"A";"2"
"65";"2020-S11";"0";"1"
"65";"2020-S12";"0";"1"
"65";"2020-S13";"0";"1"
"65";"2020-S14";"0";"2"
"66";"2020-S11";"A";"1"
"66";"2020-S12";"A";"1"
"66";"2020-S13";"A";"1"
"66";"2020-S14";"A";"1"
"66";"2020-S11";"0";"1"
"66";"2020-S12";"0";"1"
"66";"2020-S13";"0";"1"
"66";"2020-S14";"0";"1"
"67";"2020-S11";"A";"2"
"67";"2020-S12";"A";"3"
"67";"2020-S13";"A";"4"
"67";"2020-S14";"A";"4"
"67";"2020-S11";"0";"2"
"67";"2020-S12";"0";"3"
"67";"2020-S13";"0";"4"
"67";"2020-S14";"0";"4"
"68";"2020-S11";"A";"3"
"68";"2020-S12";"A";"5"
"68";"2020-S13";"A";"5"
"68";"2020-S14";"A";"5"
"68";"2020-S11";"0";"3"
"68";"2020-S12";"0";"5"
"68";"2020-S13";"0";"5"
"68";"2020-S14";"0";"5"
"69";"2020-S11";"A";"1"
"69";"2020-S12";"A";"2"
"69";"2020-S13";"A";"4"
"69";"2020-S14";"A";"4"
"69";"2020-S11";"0";"1"
"69";"2020-S12";"0";"2"
"69";"2020-S13";"0";"4"
"69";"2020-S14";"0";"4"
"70";"2020-S11";"A";"1"
"70";"2020-S12";"A";"1"
"70";"2020-S13";"A";"2"
"70";"2020-S14";"A";"3"
"70";"2020-S11";"0";"1"
"70";"2020-S12";"0";"1"
"70";"2020-S13";"0";"2"
"70";"2020-S14";"0";"3"
"71";"2020-S11";"A";"1"
"71";"2020-S12";"A";"1"
"71";"2020-S13";"A";"1"
"71";"2020-S14";"A";"1"
"71";"2020-S11";"0";"1"
"71";"2020-S12";"0";"1"
"71";"2020-S13";"0";"2"
"71";"2020-S14";"0";"1"
"72";"2020-S11";"A";"1"
"72";"2020-S12";"A";"1"
"72";"2020-S13";"A";"1"
"72";"2020-S14";"A";"2"
"72";"2020-S11";"0";"1"
"72";"2020-S12";"0";"1"
