dep;week;P;T;cl_age90;pop
01;2021-S11;28;538;89;26830
01;2021-S11;9;214;90;7395
01;2021-S11;1577;22374;0;656955
01;2021-S12;172;3814;09;83001
01;2021-S12;400;5418;19;84665
01;2021-S12;257;2864;29;65496
01;2021-S12;312;3640;39;85588
01;2021-S12;341;3322;49;89678
01;2021-S12;299;3012;59;89791
01;2021-S12;161;1975;69;73500
01;2021-S12;94;1206;79;51011
01;2021-S12;32;585;89;26830
01;2021-S12;10;214;90;7395
01;2021-S12;2078;26051;0;656955
01;2021-S13;153;5174;09;83001
01;2021-S13;454;6614;19;84665
01;2021-S13;347;3542;29;65496
01;2021-S13;374;4423;39;85588
01;2021-S13;402;4309;49;89678
01;2021-S13;361;3616;59;89791
01;2021-S13;181;2137;69;73500
01;2021-S13;129;1319;79;51011
01;2021-S13;49;572;89;26830
01;2021-S13;18;206;90;7395
01;2021-S13;2468;31912;0;656955
01;2021-S14;80;1238;09;83001
01;2021-S14;312;2937;19;84665
01;2021-S14;280;2663;29;65496
01;2021-S14;291;3125;39;85588
01;2021-S14;370;3144;49;89678
01;2021-S14;297;2679;59;89791
01;2021-S14;125;1706;69;73500
01;2021-S14;93;1093;79;51011
01;2021-S14;50;513;89;26830
01;2021-S14;14;261;90;7395
01;2021-S14;1913;19362;0;656955
01;2021-S15;80;775;09;83001
01;2021-S15;298;2261;19;84665
01;2021-S15;252;2571;29;65496
01;2021-S15;296;2863;39;85588
01;2021-S15;353;2786;49;89678
01;2021-S15;325;2686;59;89791
01;2021-S15;178;1621;69;73500
01;2021-S15;85;972;79;51011
01;2021-S15;22;508;89;26830
01;2021-S15;14;228;90;7395
01;2021-S15;1903;17271;0;656955
01;2021-S16;95;582;09;83001
01;2021-S16;217;1571;19;84665
01;2021-S16;234;2191;29;65496
01;2021-S16;267;2151;39;85588
01;2021-S16;275;2068;49;89678
01;2021-S16;264;2126;59;89791
01;2021-S16;161;1458;69;73500
01;2021-S16;76;922;79;51011
01;2021-S16;33;471;89;26830
01;2021-S16;13;239;90;7395
01;2021-S16;1635;13779;0;656955
01;2021-S17;85;2709;09;83001
01;2021-S17;218;2269;19;84665
01;2021-S17;153;2012;29;65496
01;2021-S17;172;1962;39;85588
01;2021-S17;179;1984;49;89678
01;2021-S17;204;2026;59;89791
01;2021-S17;105;1337;69;73500
01;2021-S17;64;892;79;51011
01;2021-S17;34;509;89;26830
01;2021-S17;9;205;90;7395
01;2021-S17;1223;15907;0;656955
01;2021-S18;97;4639;09;83001
01;2021-S18;164;3959;19;84665
01;2021-S18;137;2037;29;65496
01;2021-S18;167;2212;39;85588
01;2021-S18;142;1988;49;89678
01;2021-S18;112;2048;59;89791
01;2021-S18;45;1307;69;73500
01;2021-S18;18;840;79;51011
01;2021-S18;20;522;89;26830
01;2021-S18;11;259;90;7395
01;2021-S18;913;19813;0;656955
01;2021-S19;51;2268;09;83001
01;2021-S19;121;3849;19;84665
01;2021-S19;87;1922;29;65496
01;2021-S19;110;2205;39;85588
01;2021-S19;105;1935;49;89678
01;2021-S19;102;1899;59;89791
01;2021-S19;51;1290;69;73500
01;2021-S19;12;808;79;51011
01;2021-S19;11;449;89;26830
01;2021-S19;10;185;90;7395
01;2021-S19;660;16810;0;656955
01;2021-S20;65;3026;09;83001
01;2021-S20;141;5043;19;84665
01;2021-S20;87;2087;29;65496
01;2021-S20;124;2490;39;85588
01;2021-S20;114;2120;49;89678
01;2021-S20;85;2021;59;89791
01;2021-S20;62;1505;69;73500
01;2021-S20;28;949;79;51011
01;2021-S20;10;457;89;26830
01;2021-S20;6;182;90;7395
01;2021-S20;722;19880;0;656955
01;2021-S21;46;2209;09;83001
01;2021-S21;94;3112;19;84665
01;2021-S21;58;1629;29;65496
01;2021-S21;72;1810;39;85588
01;2021-S21;67;1496;49;89678
01;2021-S21;54;1494;59;89791
01;2021-S21;27;1255;69;73500
01;2021-S21;6;896;79;51011
01;2021-S21;4;442;89;26830
01;2021-S21;2;184;90;7395
01;2021-S21;430;14527;0;656955
01;2021-S22;41;3166;09;83001
01;2021-S22;57;3338;19;84665
01;2021-S22;48;1653;29;65496
01;2021-S22;67;1857;39;85588
01;2021-S22;65;1614;49;89678
01;2021-S22;41;1613;59;89791
01;2021-S22;29;1387;69;73500
01;2021-S22;12;986;79;51011
01;2021-S22;5;453;89;26830
01;2021-S22;1;173;90;7395
01;2021-S22;366;16243;0;656955
01;2021-S23;24;1866;09;83001
01;2021-S23;39;2829;19;84665
01;2021-S23;24;1678;29;65496
01;2021-S23;38;1814;39;85588
01;2021-S23;29;1579;49;89678
01;2021-S23;26;1730;59;89791
01;2021-S23;13;1394;69;73500
01;2021-S23;8;875;79;51011
01;2021-S23;3;432;89;26830
01;2021-S23;1;131;90;7395
01;2021-S23;205;14329;0;656955
01;2021-S24;14;2098;09;83001
01;2021-S24;19;2108;19;84665
01;2021-S24;16;1703;29;65496
01;2021-S24;25;1853;39;85588
01;2021-S24;23;1559;49;89678
01;2021-S24;10;1632;59;89791
01;2021-S24;6;1278;69;73500
01;2021-S24;1;922;79;51011
01;2021-S24;2;422;89;26830
01;2021-S24;1;118;90;7395
01;2021-S24;117;13695;0;656955
01;2021-S25;5;1325;09;83001
01;2021-S25;15;1595;19;84665
01;2021-S25;18;1608;29;65496
01;2021-S25;16;1786;39;85588
01;2021-S25;8;1401;49;89678
01;2021-S25;10;1506;59;89791
01;2021-S25;9;1138;69;73500
01;2021-S25;6;834;79;51011
01;2021-S25;1;398;89;26830
01;2021-S25;1;132;90;7395
01;2021-S25;89;11724;0;656955
01;2021-S26;1;613;09;83001
01;2021-S26;20;2479;19;84665
01;2021-S26;20;1791;29;65496
01;2021-S26;15;2051;39;85588
01;2021-S26;6;1875;49;89678
01;2021-S26;8;1575;59;89791
01;2021-S26;7;1035;69;73500
01;2021-S26;0;750;79;51011
01;2021-S26;1;404;89;26830
01;2021-S26;0;127;90;7395
01;2021-S26;78;12701;0;656955
01;2021-S27;3;793;09;83001
01;2021-S27;35;3680;19;84665
01;2021-S27;38;2477;29;65496
01;2021-S27;21;2448;39;85588
01;2021-S27;24;2454;49;89678
01;2021-S27;12;1672;59;89791
01;2021-S27;5;1010;69;73500
01;2021-S27;3;744;79;51011
01;2021-S27;4;388;89;26830
01;2021-S27;1;135;90;7395
01;2021-S27;146;15804;0;656955
01;2021-S28;12;677;09;83001
01;2021-S28;81;3787;19;84665
01;2021-S28;111;3468;29;65496
01;2021-S28;56;2513;39;85588
01;2021-S28;37;2290;49;89678
01;2021-S28;28;1583;59;89791
01;2021-S28;11;932;69;73500
01;2021-S28;12;621;79;51011
01;2021-S28;3;380;89;26830
01;2021-S28;2;115;90;7395
01;2021-S28;353;16366;0;656955
01;2021-S29;31;812;09;83001
01;2021-S29;215;4320;19;84665
01;2021-S29;308;4983;29;65496
01;2021-S29;175;4679;39;85588
01;2021-S29;90;3649;49;89678
01;2021-S29;62;2299;59;89791
01;2021-S29;33;1247;69;73500
01;2021-S29;13;811;79;51011
01;2021-S29;4;402;89;26830
01;2021-S29;3;168;90;7395
01;2021-S29;934;23371;0;656955
01;2021-S30;46;921;09;83001
01;2021-S30;216;4938;19;84665
01;2021-S30;260;5644;29;65496
01;2021-S30;190;6051;39;85588
01;2021-S30;111;4601;49;89678
01;2021-S30;91;2869;59;89791
01;2021-S30;46;1412;69;73500
01;2021-S30;24;828;79;51011
01;2021-S30;17;444;89;26830
01;2021-S30;12;215;90;7395
01;2021-S30;1015;27931;0;656955
01;2021-S31;67;804;09;83001
01;2021-S31;191;4689;19;84665
01;2021-S31;249;5998;29;65496
01;2021-S31;220;6440;39;85588
01;2021-S31;170;4606;49;89678
01;2021-S31;100;2802;59;89791
01;2021-S31;52;1416;69;73500
01;2021-S31;36;762;79;51011
01;2021-S31;14;449;89;26830
01;2021-S31;15;263;90;7395
01;2021-S31;1114;28232;0;656955
01;2021-S32;69;628;09;83001
01;2021-S32;254;4610;19;84665
01;2021-S32;236;8206;29;65496
01;2021-S32;212;8553;39;85588
01;2021-S32;162;5765;49;89678
01;2021-S32;126;3602;59;89791
01;2021-S32;68;1727;69;73500
01;2021-S32;36;938;79;51011
01;2021-S32;23;494;89;26830
01;2021-S32;11;251;90;7395
01;2021-S32;1197;34778;0;656955
01;2021-S33;63;554;09;83001
01;2021-S33;200;3904;19;84665
01;2021-S33;219;7560;29;65496
01;2021-S33;218;8059;39;85588
01;2021-S33;131;5549;49;89678
01;2021-S33;114;3692;59;89791
01;2021-S33;59;1884;69;73500
01;2021-S33;33;1040;79;51011
01;2021-S33;29;545;89;26830
01;2021-S33;8;297;90;7395
01;2021-S33;1074;33088;0;656955
01;2021-S34;71;496;09;83001
01;2021-S34;154;3285;19;84665
01;2021-S34;187;6809;29;65496
01;2021-S34;187;7122;39;85588
01;2021-S34;112;4847;49;89678
01;2021-S34;99;3588;59;89791
01;2021-S34;46;1988;69;73500
01;2021-S34;35;1089;79;51011
01;2021-S34;14;570;89;26830
01;2021-S34;4;261;90;7395
01;2021-S34;909;30060;0;656955
01;2021-S35;76;546;09;83001
01;2021-S35;121;2572;19;84665
01;2021-S35;125;6051;29;65496
01;2021-S35;121;5977;39;85588
01;2021-S35;114;3997;49;89678
01;2021-S35;68;3223;59;89791
01;2021-S35;35;2048;69;73500
01;2021-S35;32;1190;79;51011
01;2021-S35;3;503;89;26830
01;2021-S35;5;209;90;7395
01;2021-S35;700;26319;0;656955
01;2021-S36;67;1627;09;83001
01;2021-S36;110;2543;19;84665
01;2021-S36;106;5746;29;65496
01;2021-S36;99;6002;39;85588
01;2021-S36;73;4086;49;89678
01;2021-S36;63;3197;59;89791
01;2021-S36;32;2043;69;73500
01;2021-S36;32;1143;79;51011
01;2021-S36;6;481;89;26830
01;2021-S36;2;196;90;7395
01;2021-S36;590;27070;0;656955
01;2021-S37;65;3080;09;83001
01;2021-S37;70;2878;19;84665
01;2021-S37;64;5246;29;65496
01;2021-S37;88;5693;39;85588
01;2021-S37;60;3795;49;89678
01;2021-S37;35;2887;59;89791
01;2021-S37;32;1970;69;73500
01;2021-S37;15;1159;79;51011
01;2021-S37;3;468;89;26830
01;2021-S37;2;162;90;7395
01;2021-S37;435;27344;0;656955
01;2021-S38;44;3359;09;83001
01;2021-S38;65;3117;19;84665
01;2021-S38;55;4883;29;65496
01;2021-S38;58;5365;39;85588
01;2021-S38;49;3605;49;89678
01;2021-S38;32;2729;59;89791
01;2021-S38;26;1862;69;73500
01;2021-S38;11;1067;79;51011
01;2021-S38;6;485;89;26830
01;2021-S38;4;162;90;7395
01;2021-S38;350;26639;0;656955
01;2021-S39;35;3218;09;83001
01;2021-S39;76;4291;19;84665
01;2021-S39;41;4315;29;65496
01;2021-S39;67;4909;39;85588
01;2021-S39;63;3514;49;89678
01;2021-S39;29;2616;59;89791
01;2021-S39;29;1836;69;73500
01;2021-S39;20;1114;79;51011
01;2021-S39;3;492;89;26830
